2019-01-29 18:47:14 - getBjBus.py[line:38] - INFO: 初始化session!
2019-01-29 18:47:14 - getBjBus.py[line:142] - INFO: 获取所有的路线名称!
2019-01-29 18:47:14 - getBjBus.py[line:46] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/index.php
2019-01-29 18:47:15 - getBjBus.py[line:144] - INFO: 获取路线1的方向名称!
2019-01-29 18:47:15 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=1
2019-01-29 18:47:16 - getBjBus.py[line:148] - INFO: 获取路线1(老山公交场站-四惠枢纽站)的站点!
2019-01-29 18:47:16 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5276138694316562750
2019-01-29 18:47:16 - getBjBus.py[line:151] - INFO: 获取路线1(老山公交场站-四惠枢纽站)的时间!
2019-01-29 18:47:16 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5276138694316562750
2019-01-29 18:47:16 - getBjBus.py[line:148] - INFO: 获取路线1(四惠枢纽站-老山公交场站)的站点!
2019-01-29 18:47:16 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5431016404622390237
2019-01-29 18:47:16 - getBjBus.py[line:151] - INFO: 获取路线1(四惠枢纽站-老山公交场站)的时间!
2019-01-29 18:47:16 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5431016404622390237
2019-01-29 18:47:16 - getBjBus.py[line:144] - INFO: 获取路线2的方向名称!
2019-01-29 18:47:16 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=2
2019-01-29 18:47:17 - getBjBus.py[line:148] - INFO: 获取路线2(双庙-宽街路口南)的站点!
2019-01-29 18:47:17 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5297891044423961431
2019-01-29 18:47:17 - getBjBus.py[line:151] - INFO: 获取路线2(双庙-宽街路口南)的时间!
2019-01-29 18:47:17 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5297891044423961431
2019-01-29 18:47:17 - getBjBus.py[line:148] - INFO: 获取路线2(宽街路口南-双庙)的站点!
2019-01-29 18:47:17 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5702371011268233799
2019-01-29 18:47:17 - getBjBus.py[line:151] - INFO: 获取路线2(宽街路口南-双庙)的时间!
2019-01-29 18:47:17 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5702371011268233799
2019-01-29 18:47:17 - getBjBus.py[line:144] - INFO: 获取路线3的方向名称!
2019-01-29 18:47:17 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=3
2019-01-29 18:47:17 - getBjBus.py[line:148] - INFO: 获取路线3(金家村桥东-东直门枢纽站)的站点!
2019-01-29 18:47:17 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5350423245113850244
2019-01-29 18:47:17 - getBjBus.py[line:151] - INFO: 获取路线3(金家村桥东-东直门枢纽站)的时间!
2019-01-29 18:47:17 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5350423245113850244
2019-01-29 18:47:18 - getBjBus.py[line:148] - INFO: 获取路线3(东直门枢纽站-金家村桥东)的站点!
2019-01-29 18:47:18 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5552944657151399071
2019-01-29 18:47:18 - getBjBus.py[line:151] - INFO: 获取路线3(东直门枢纽站-金家村桥东)的时间!
2019-01-29 18:47:18 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5552944657151399071
2019-01-29 18:47:18 - getBjBus.py[line:144] - INFO: 获取路线10的方向名称!
2019-01-29 18:47:18 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=10
2019-01-29 18:47:18 - getBjBus.py[line:148] - INFO: 获取路线10(南菜园-航天桥东)的站点!
2019-01-29 18:47:18 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5192287798525865037
2019-01-29 18:47:18 - getBjBus.py[line:151] - INFO: 获取路线10(南菜园-航天桥东)的时间!
2019-01-29 18:47:18 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5192287798525865037
2019-01-29 18:47:18 - getBjBus.py[line:148] - INFO: 获取路线10(航天桥东-南菜园)的站点!
2019-01-29 18:47:18 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5582831127904445311
2019-01-29 18:47:19 - getBjBus.py[line:151] - INFO: 获取路线10(航天桥东-南菜园)的时间!
2019-01-29 18:47:19 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5582831127904445311
2019-01-29 18:47:19 - getBjBus.py[line:144] - INFO: 获取路线11的方向名称!
2019-01-29 18:47:19 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=11
2019-01-29 18:47:19 - getBjBus.py[line:148] - INFO: 获取路线11(大北窑东-孛罗营)的站点!
2019-01-29 18:47:19 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5445071853065295212
2019-01-29 18:47:19 - getBjBus.py[line:151] - INFO: 获取路线11(大北窑东-孛罗营)的时间!
2019-01-29 18:47:19 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5445071853065295212
2019-01-29 18:47:19 - getBjBus.py[line:148] - INFO: 获取路线11(孛罗营-大北窑东)的站点!
2019-01-29 18:47:19 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5482987780894928145
2019-01-29 18:47:19 - getBjBus.py[line:151] - INFO: 获取路线11(孛罗营-大北窑东)的时间!
2019-01-29 18:47:19 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5482987780894928145
2019-01-29 18:47:20 - getBjBus.py[line:144] - INFO: 获取路线12的方向名称!
2019-01-29 18:47:20 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=12
2019-01-29 18:47:20 - getBjBus.py[line:148] - INFO: 获取路线12(五间楼-五间楼)的站点!
2019-01-29 18:47:20 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5158977645759324323
2019-01-29 18:47:20 - getBjBus.py[line:151] - INFO: 获取路线12(五间楼-五间楼)的时间!
2019-01-29 18:47:20 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5158977645759324323
2019-01-29 18:47:20 - getBjBus.py[line:144] - INFO: 获取路线13的方向名称!
2019-01-29 18:47:20 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=13
2019-01-29 18:47:20 - getBjBus.py[line:148] - INFO: 获取路线13(西城三里河-小营公交场站)的站点!
2019-01-29 18:47:20 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4729053036187726302
2019-01-29 18:47:20 - getBjBus.py[line:151] - INFO: 获取路线13(西城三里河-小营公交场站)的时间!
2019-01-29 18:47:20 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4729053036187726302
2019-01-29 18:47:20 - getBjBus.py[line:148] - INFO: 获取路线13(小营公交场站-西城三里河)的站点!
2019-01-29 18:47:20 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5728968074702956921
2019-01-29 18:47:21 - getBjBus.py[line:151] - INFO: 获取路线13(小营公交场站-西城三里河)的时间!
2019-01-29 18:47:21 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5728968074702956921
2019-01-29 18:47:21 - getBjBus.py[line:144] - INFO: 获取路线14的方向名称!
2019-01-29 18:47:21 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=14
2019-01-29 18:47:21 - getBjBus.py[line:148] - INFO: 获取路线14(角门南站-后库)的站点!
2019-01-29 18:47:21 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5500610665106044088
2019-01-29 18:47:21 - getBjBus.py[line:151] - INFO: 获取路线14(角门南站-后库)的时间!
2019-01-29 18:47:21 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5500610665106044088
2019-01-29 18:47:21 - getBjBus.py[line:148] - INFO: 获取路线14(北京三十九中学-角门南站)的站点!
2019-01-29 18:47:21 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5638378100887632289
2019-01-29 18:47:21 - getBjBus.py[line:151] - INFO: 获取路线14(北京三十九中学-角门南站)的时间!
2019-01-29 18:47:21 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5638378100887632289
2019-01-29 18:47:21 - getBjBus.py[line:144] - INFO: 获取路线15的方向名称!
2019-01-29 18:47:21 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=15
2019-01-29 18:47:22 - getBjBus.py[line:148] - INFO: 获取路线15(动物园枢纽站-天桥商场)的站点!
2019-01-29 18:47:22 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5201515488286042587
2019-01-29 18:47:22 - getBjBus.py[line:151] - INFO: 获取路线15(动物园枢纽站-天桥商场)的时间!
2019-01-29 18:47:22 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5201515488286042587
2019-01-29 18:47:22 - getBjBus.py[line:148] - INFO: 获取路线15(天桥商场-动物园枢纽站)的站点!
2019-01-29 18:47:22 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5216884954681231271
2019-01-29 18:47:22 - getBjBus.py[line:151] - INFO: 获取路线15(天桥商场-动物园枢纽站)的时间!
2019-01-29 18:47:22 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5216884954681231271
2019-01-29 18:47:22 - getBjBus.py[line:144] - INFO: 获取路线16的方向名称!
2019-01-29 18:47:22 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=16
2019-01-29 18:47:22 - getBjBus.py[line:148] - INFO: 获取路线16(二里庄-动物园枢纽站)的站点!
2019-01-29 18:47:22 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=4900687457609904952
2019-01-29 18:47:22 - getBjBus.py[line:151] - INFO: 获取路线16(二里庄-动物园枢纽站)的时间!
2019-01-29 18:47:22 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=4900687457609904952
2019-01-29 18:47:23 - getBjBus.py[line:148] - INFO: 获取路线16(动物园枢纽站-二里庄)的站点!
2019-01-29 18:47:23 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5328731049562597630
2019-01-29 18:47:23 - getBjBus.py[line:151] - INFO: 获取路线16(动物园枢纽站-二里庄)的时间!
2019-01-29 18:47:23 - getBjBus.py[line:123] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=busTime&selBLine=a&selBStop=1&selBDir=5328731049562597630
2019-01-29 18:47:23 - getBjBus.py[line:144] - INFO: 获取路线18的方向名称!
2019-01-29 18:47:23 - getBjBus.py[line:70] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getLineDirOption&selBLine=18
2019-01-29 18:47:23 - getBjBus.py[line:148] - INFO: 获取路线18(国际展览中心-惠新东桥西)的站点!
2019-01-29 18:47:23 - getBjBus.py[line:98] - INFO: 发送一个http请求,地址https://www.bjbus.com/home/ajax_rtbus_data.php?act=getDirStationOption&selBLine=a&selBDir=5147099281617358001
2019-01-29 18:47:23 - getBjBus.py[line:151] - INFO: 获取路线18(国际展览中心-惠新东桥西)的时间!
